id,flight_id,timestamp,event_type,source,message
103,10,2025-10-21 17:14:17,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
104,10,2025-10-21 17:14:17,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
105,10,2025-10-21 17:14:17,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
106,10,2025-10-21 17:14:17,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
107,10,2025-10-21 17:14:17,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
108,10,2025-10-21 17:14:17,error,gps,SATS: 0
109,10,2025-10-21 17:14:20,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
110,10,2025-10-21 17:14:20,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
111,10,2025-10-21 17:14:20,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
112,10,2025-10-21 17:14:20,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
113,10,2025-10-21 17:14:20,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
114,10,2025-10-21 17:14:20,error,gps,SATS: 0
115,10,2025-10-21 17:14:23,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
116,10,2025-10-21 17:14:23,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
117,10,2025-10-21 17:14:23,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
118,10,2025-10-21 17:14:23,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
119,10,2025-10-21 17:14:23,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
120,10,2025-10-21 17:14:23,error,gps,SATS: 0
121,10,2025-10-21 17:14:26,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
122,10,2025-10-21 17:14:26,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
123,10,2025-10-21 17:14:26,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
124,10,2025-10-21 17:14:26,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
125,10,2025-10-21 17:14:26,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
126,10,2025-10-21 17:14:26,error,gps,SATS: 0
127,10,2025-10-21 17:14:29,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
128,10,2025-10-21 17:14:29,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
129,10,2025-10-21 17:14:29,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
130,10,2025-10-21 17:14:29,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
131,10,2025-10-21 17:14:29,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
132,10,2025-10-21 17:14:29,error,gps,SATS: 0
133,10,2025-10-21 17:14:32,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
134,10,2025-10-21 17:14:32,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
135,10,2025-10-21 17:14:32,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
136,10,2025-10-21 17:14:32,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
137,10,2025-10-21 17:14:32,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
138,10,2025-10-21 17:14:32,error,gps,SATS: 0
139,10,2025-10-21 17:14:35,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
140,10,2025-10-21 17:14:35,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
141,10,2025-10-21 17:14:35,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
142,10,2025-10-21 17:14:35,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
143,10,2025-10-21 17:14:35,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
144,10,2025-10-21 17:14:35,error,gps,SATS: 0
145,10,2025-10-21 17:14:38,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
146,10,2025-10-21 17:14:38,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
147,10,2025-10-21 17:14:38,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
148,10,2025-10-21 17:14:38,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
149,10,2025-10-21 17:14:38,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
150,10,2025-10-21 17:14:38,error,gps,SATS: 0
151,10,2025-10-21 17:14:41,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
152,10,2025-10-21 17:14:41,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
153,10,2025-10-21 17:14:41,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
154,10,2025-10-21 17:14:41,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
155,10,2025-10-21 17:14:41,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
156,10,2025-10-21 17:14:41,error,gps,SATS: 0
157,10,2025-10-21 17:14:44,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
158,10,2025-10-21 17:14:44,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
159,10,2025-10-21 17:14:44,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
160,10,2025-10-21 17:14:44,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
161,10,2025-10-21 17:14:44,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
162,10,2025-10-21 17:14:44,error,gps,SATS: 0
163,10,2025-10-21 17:14:47,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
164,10,2025-10-21 17:14:47,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
165,10,2025-10-21 17:14:47,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
166,10,2025-10-21 17:14:47,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
167,10,2025-10-21 17:14:47,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
168,10,2025-10-21 17:14:47,error,gps,SATS: 0
169,10,2025-10-21 17:14:50,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
170,10,2025-10-21 17:14:50,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
171,10,2025-10-21 17:14:50,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
172,10,2025-10-21 17:14:50,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
173,10,2025-10-21 17:14:50,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
174,10,2025-10-21 17:14:50,error,gps,SATS: 0
175,10,2025-10-21 17:14:53,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
176,10,2025-10-21 17:14:53,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
177,10,2025-10-21 17:14:53,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
178,10,2025-10-21 17:14:53,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
179,10,2025-10-21 17:14:53,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
180,10,2025-10-21 17:14:53,error,gps,SATS: 0
181,10,2025-10-21 17:14:56,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
182,10,2025-10-21 17:14:56,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
183,10,2025-10-21 17:14:56,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
184,10,2025-10-21 17:14:56,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
185,10,2025-10-21 17:14:56,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
186,10,2025-10-21 17:14:56,error,gps,SATS: 0
187,10,2025-10-21 17:14:59,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
188,10,2025-10-21 17:14:59,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
189,10,2025-10-21 17:14:59,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
190,10,2025-10-21 17:14:59,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
191,10,2025-10-21 17:14:59,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
192,10,2025-10-21 17:14:59,error,gps,SATS: 0
193,10,2025-10-21 17:15:02,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
194,10,2025-10-21 17:15:02,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
195,10,2025-10-21 17:15:02,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
196,10,2025-10-21 17:15:02,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
197,10,2025-10-21 17:15:02,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
198,10,2025-10-21 17:15:02,error,gps,SATS: 0
199,10,2025-10-21 17:15:05,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
200,10,2025-10-21 17:15:05,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
201,10,2025-10-21 17:15:05,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
202,10,2025-10-21 17:15:05,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
203,10,2025-10-21 17:15:05,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
204,10,2025-10-21 17:15:05,error,gps,SATS: 0
205,10,2025-10-21 17:15:08,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
206,10,2025-10-21 17:15:08,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
207,10,2025-10-21 17:15:08,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
208,10,2025-10-21 17:15:08,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
209,10,2025-10-21 17:15:08,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
210,10,2025-10-21 17:15:08,error,gps,SATS: 0
211,10,2025-10-21 17:15:11,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
212,10,2025-10-21 17:15:11,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
213,10,2025-10-21 17:15:11,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
214,10,2025-10-21 17:15:11,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
215,10,2025-10-21 17:15:11,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
216,10,2025-10-21 17:15:11,error,gps,SATS: 0
217,10,2025-10-21 17:15:14,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
218,10,2025-10-21 17:15:14,error,gyro,Roll/Pitch/Yaw: 0.0 / 0.0 / 0.0 deg
219,10,2025-10-21 17:15:14,error,accelerometer,Accel (X/Y/Z): 0.00 / 0.00 / 0.00 G
220,10,2025-10-21 17:15:14,error,bme_sensor,Temp/Hum/Pres/Alt BME (1/2/3): 0.0°C / 0.0% / 0.0 hPa | 0.00m / 0.00m / 0.00m
221,10,2025-10-21 17:15:14,error,gps,GPS Lat/Lon/Alt: 0.000000 / 0.000000 / 0.00 m
222,10,2025-10-21 17:15:14,error,gps,SATS: 0
223,10,2025-10-21 17:15:17,warning,system,"Advertencia: No hay conexión con LoRa, esperando datos."
